Return_ID,Order_ID,SKU_ID,Return_Date,Return_Reason,Refund_Amount,Return_Status
RET200138,ORD1001678,SKU00737,24-06-2025,Quality Issue,185.94,Approved
RET200139,ORD1028071,SKU00691,23-06-2025,Wrong Item,245.1,Approved
RET200140,ORD1038657,SKU00564,05-06-2025,Late Delivery,160.51,Approved
RET200141,ORD1004678,SKU00898,28-06-2025,Quality Issue,808.26,Rejected
RET200142,ORD1030397,SKU00005,29-01-2025,Changed Mind,414.39,Approved
RET200143,ORD1076572,SKU01134,03-04-2025,Changed Mind,290.86,Approved
RET200144,ORD1027258,SKU00827,18-05-2025,Quality Issue,374.71,Approved
RET200145,ORD1047771,SKU00908,06-06-2025,Changed Mind,237.09,Approved
RET200146,ORD1007202,SKU00781,22-06-2025,Quality Issue,773.03,Approved
RET200147,ORD1064030,SKU00925,24-01-2025,Late Delivery,593.08,Approved
RET200148,ORD1076939,SKU01033,04-04-2025,Damaged,1502.64,Rejected
RET200149,ORD1027738,SKU00453,11-03-2025,Late Delivery,259.83,Approved
RET200150,ORD1033792,SKU01090,22-05-2025,Missing Item,121.39,Approved
RET200151,ORD1012780,SKU00277,20-03-2025,Quality Issue,225.1,Approved
RET200152,ORD1040568,SKU00132,14-03-2025,Damaged,348.75,Approved
RET200153,ORD1014385,SKU00239,25-02-2025,Late Delivery,109.1,Approved
RET200154,ORD1006175,SKU01119,30-03-2025,Wrong Item,599.18,Approved
RET200155,ORD1068820,SKU00830,02-07-2025,Missing Item,89.35,Approved
RET200156,ORD1046260,SKU00444,21-06-2025,Wrong Item,360.53,Approved
RET200157,ORD1077268,SKU00561,21-04-2025,Quality Issue,1143.94,Approved
RET200158,ORD1032259,SKU00301,18-03-2025,Changed Mind,526.14,Approved
RET200159,ORD1022024,SKU00957,16-06-2025,Changed Mind,417.21,Approved
RET200160,ORD1013717,SKU00988,22-01-2025,Missing Item,101.12,Approved
RET200161,ORD1023985,SKU00744,10-01-2025,Damaged,115.04,Approved
RET200162,ORD1023867,SKU00259,01-07-2025,Damaged,141.04,Approved
RET200163,ORD1034831,SKU01161,13-06-2025,Wrong Item,177,Approved
RET200164,ORD1069999,SKU00679,23-04-2025,Quality Issue,317.07,Approved
RET200165,ORD1001914,SKU00026,02-06-2025,Late Delivery,325.14,Approved
RET200166,ORD1024285,SKU00398,12-04-2025,Wrong Item,338.55,Approved
RET200167,ORD1008476,SKU00626,19-01-2025,Missing Item,298.01,Approved
RET200168,ORD1076986,SKU00794,01-06-2025,Late Delivery,210.49,Approved
RET200169,ORD1074437,SKU00389,28-02-2025,Missing Item,514.73,Approved
RET200170,ORD1049762,SKU-49005,28-02-2025,Changed Mind,231.11,Approved
RET200171,ORD1079586,SKU00506,23-02-2025,Missing Item,183.14,Approved
RET200172,ORD1039727,SKU01011,03-07-2025,Quality Issue,937.38,Approved
RET200173,ORD1022373,SKU00823,23-04-2025,Wrong Item,560.51,Approved
RET200174,ORD1026654,SKU00482,01-05-2025,Changed Mind,68.55,Approved
RET200175,ORD1079742,SKU00439,22-04-2025,Changed Mind,413.62,Approved
RET200176,ORD1076679,SKU00844,25-01-2025,Damaged,711.13,Approved
RET200177,ORD1064639,SKU00080,02-07-2025,Changed Mind,182.4,Approved
RET200178,ORD1008265,SKU00907,28-01-2025,Quality Issue,127.7,Approved
RET200179,ORD1003595,SKU00197,21-04-2025,Missing Item,304.89,Approved
RET200180,ORD1053714,SKU00877,07-07-2025,Late Delivery,717.16,Approved
RET200181,ORD1011408,SKU00398,26-06-2025,Missing Item,336.43,Approved
RET200182,ORD1027351,SKU01104,07-03-2025,Missing Item,188.55,Approved
RET200183,ORD1046995,SKU00877,24-02-2025,Wrong Item,2057.15,Approved
RET200184,ORD1071154,SKU00360,23-05-2025,Quality Issue,515.77,Rejected
RET200185,ORD1072891,SKU00502,10-05-2025,Quality Issue,256.81,Approved
RET200186,ORD1051744,SKU00890,01-02-2025,Damaged,393.19,Approved
RET200187,ORD1039025,SKU00561,17-05-2025,Changed Mind,669.42,Approved
RET200188,ORD1057990,SKU00798,03-02-2025,Quality Issue,904.69,Approved
RET200189,ORD1018999,SKU00463,22-01-2025,Missing Item,2396.29,Approved
RET200190,ORD1016121,SKU00460,14-06-2025,Missing Item,339.78,Approved
RET200191,ORD1026211,SKU00140,14-06-2025,Damaged,80.88,Approved
RET200192,ORD1039812,SKU00684,27-06-2025,Quality Issue,396.65,Approved
RET200193,ORD1026087,SKU00744,05-01-2025,Wrong Item,120.2,Approved
RET200194,ORD1013383,SKU01169,28-05-2025,Missing Item,102.56,Approved
RET200195,ORD1041562,SKU00589,05-07-2025,Changed Mind,603.54,Approved
RET200196,ORD1044482,SKU00965,16-04-2025,Damaged,1266.9,Approved
RET200197,ORD1017236,SKU00428,08-03-2025,Missing Item,174.95,Rejected
RET200198,ORD1078345,SKU00650,24-04-2025,Changed Mind,95.5,Approved
RET200199,ORD1001737,SKU00080,22-03-2025,Damaged,255.34,Approved
RET200200,ORD1021882,SKU00364,28-02-2025,Quality Issue,151.25,Approved
RET200201,ORD1049050,SKU00532,22-03-2025,Damaged,1014.82,Approved
RET200202,ORD1002494,SKU00392,09-06-2025,Wrong Item,230.69,Approved
RET200203,ORD1026314,SKU00083,23-02-2025,Damaged,92.59,Approved
RET200204,ORD1007884,SKU00198,25-06-2025,Changed Mind,429.83,Approved
RET200205,ORD1025521,SKU00264,04-03-2025,Quality Issue,207.61,Approved
RET200206,ORD1053260,SKU01058,01-02-2025,Quality Issue,211.37,Approved
RET200207,ORD1069565,SKU00363,01-03-2025,Late Delivery,98.26,Approved
RET200208,ORD1002074,SKU00432,24-05-2025,Quality Issue,566.78,Approved
RET200209,ORD1030254,SKU00793,03-02-2025,Late Delivery,2054.03,Approved
RET200210,ORD1037155,SKU00136,21-06-2025,Quality Issue,513.84,Approved
RET200211,ORD1020820,SKU00337,17-02-2025,Late Delivery,385.31,Approved
RET200212,ORD1010395,SKU00421,08-04-2025,Quality Issue,154.21,Approved
RET200213,ORD1056422,SKU00270,07-02-2025,Quality Issue,129.48,Approved
RET200214,ORD1051565,SKU00321,08-05-2025,Damaged,256.9,Approved
RET200215,ORD1003059,SKU00599,16-06-2025,Changed Mind,269.2,Approved
RET200216,ORD1049350,SKU00713,25-05-2025,Damaged,366.21,Approved
RET200217,ORD1056739,SKU01171,13-04-2025,Quality Issue,233.88,Approved
RET200218,ORD1049861,SKU00730,24-02-2025,Missing Item,310.11,Rejected
RET200219,ORD1023980,SKU00059,28-06-2025,Changed Mind,192.55,Approved
RET200220,ORD1004426,SKU00112,30-05-2025,Quality Issue,224.58,Approved
RET200221,ORD1043405,SKU00740,16-01-2025,Wrong Item,247.99,Approved
RET200222,ORD1048756,SKU01143,17-02-2025,Damaged,270.45,Approved
RET200223,ORD1079467,SKU00692,12-01-2025,Damaged,248.23,Approved
RET200224,ORD1033759,SKU00770,15-06-2025,Quality Issue,573.72,Approved
RET200225,ORD1050726,SKU00964,28-03-2025,Wrong Item,535.89,Approved
RET200226,ORD1067858,SKU00452,01-02-2025,Late Delivery,188.12,Approved
RET200227,ORD1050508,SKU00057,25-02-2025,Damaged,547.82,Approved
RET200228,ORD1074341,SKU00742,25-06-2025,Missing Item,506.85,Approved
RET200229,ORD1003539,SKU00524,28-04-2025,Damaged,286.63,Approved
RET200230,ORD1059914,SKU00391,24-05-2025,Quality Issue,1801.11,Approved
RET200231,ORD1002133,SKU00583,01-04-2025,Changed Mind,229.21,Approved
RET200232,ORD1058704,SKU01063,01-06-2025,Late Delivery,146.25,Approved
RET200233,ORD1011707,SKU00461,07-03-2025,Wrong Item,573.48,Approved
RET200234,ORD1041334,SKU00303,24-05-2025,Late Delivery,332.18,Rejected
RET200235,ORD1063869,SKU01058,16-01-2025,Late Delivery,390.84,Approved
RET200236,ORD1023522,SKU01027,14-02-2025,Changed Mind,356.2,Approved
RET200237,ORD1053739,SKU00587,14-06-2025,Changed Mind,91.11,Approved
RET200238,ORD1033437,SKU00872,21-02-2025,Wrong Item,96.27,Approved
RET200239,ORD1058086,SKU00153,31-01-2025,Damaged,110.11,Approved
RET200240,ORD1050217,SKU00351,15-01-2025,Late Delivery,102.28,Rejected
RET200241,ORD1062591,SKU00671,07-03-2025,Damaged,204.6,Rejected
RET200242,ORD1016203,SKU00007,01-06-2025,Quality Issue,348.62,Approved
RET200243,ORD1078941,SKU00535,21-01-2025,Wrong Item,340.22,Approved
RET200244,ORD1000779,SKU01086,17-06-2025,Quality Issue,174.84,Approved
RET200245,ORD1044356,SKU01037,09-02-2025,Quality Issue,54.34,Approved
RET200246,ORD1055209,SKU00868,06-06-2025,Damaged,626.89,Approved
RET200247,ORD1011645,SKU00132,28-03-2025,Quality Issue,1273.49,Approved
RET200248,ORD1063597,SKU00959,13-01-2025,Quality Issue,267.29,Approved
RET200249,ORD1054453,SKU01142,09-06-2025,Damaged,945.09,Approved
RET200250,ORD1018777,SKU00502,30-06-2025,Late Delivery,293.61,Approved
RET200251,ORD1020356,SKU00248,03-04-2025,Changed Mind,124.42,Rejected
RET200252,ORD1013859,SKU00055,14-06-2025,Damaged,85.08,Approved
RET200253,ORD1065314,SKU00552,22-03-2025,Damaged,472.94,Approved
RET200254,ORD1055586,SKU00665,18-06-2025,Wrong Item,67.3,Approved
RET200255,ORD1049285,SKU00170,01-05-2025,Damaged,200.71,Approved
RET200256,ORD1037068,SKU00110,27-02-2025,Missing Item,148.43,Approved
RET200257,ORD1020764,SKU00645,20-03-2025,Wrong Item,1136.31,Approved
RET200258,ORD1043471,SKU00522,08-06-2025,Quality Issue,739.07,Approved
RET200259,ORD1043538,SKU00157,09-07-2025,Quality Issue,217.96,Approved
RET200260,ORD1016712,SKU00887,14-02-2025,Missing Item,286.23,Approved
RET200261,ORD1070673,SKU00979,06-01-2025,Damaged,104.07,Approved
RET200262,ORD1003948,SKU01079,06-01-2025,Damaged,162.48,Approved
RET200263,ORD1045085,SKU00471,28-02-2025,Wrong Item,258.84,Approved
RET200264,ORD1035001,SKU01072,20-06-2025,Quality Issue,91.68,Approved
RET200265,ORD1045184,SKU00438,11-01-2025,Wrong Item,42.67,Approved
RET200266,ORD1007206,SKU00536,16-04-2025,Wrong Item,1047.43,Approved
RET200267,ORD1028103,SKU00814,21-01-2025,Changed Mind,1153.08,Approved
RET200268,ORD1012868,SKU01008,05-03-2025,Changed Mind,504.38,Approved
RET200269,ORD1042825,SKU00400,10-04-2025,Damaged,308.78,Approved
RET200270,ORD1005060,SKU00092,22-02-2025,Changed Mind,672.96,Approved
RET200271,ORD1010074,SKU00857,11-04-2025,Missing Item,310.26,Approved
RET200272,ORD1079234,SKU00460,19-03-2025,Changed Mind,858.72,Approved
RET200273,ORD1036067,SKU00893,16-04-2025,Late Delivery,99.32,Approved
RET200274,ORD1059951,SKU00086,06-07-2025,Quality Issue,146,Approved
RET200275,ORD1036161,SKU00269,12-04-2025,Missing Item,58.39,Approved
RET200276,ORD1008546,SKU00260,01-05-2025,Damaged,159.99,Approved
RET200277,ORD1049027,SKU00298,28-03-2025,Late Delivery,130.32,Approved
RET200278,ORD1052527,SKU00176,20-02-2025,Wrong Item,336.74,Approved
RET200279,ORD1007251,SKU00699,03-04-2025,Changed Mind,122.71,Approved
RET200280,ORD1074364,SKU00490,24-06-2025,Changed Mind,173.39,Approved
RET200281,ORD1053787,SKU01100,12-04-2025,Changed Mind,281.76,Rejected
RET200282,ORD1065369,SKU00899,02-03-2025,Damaged,488.94,Approved
RET200283,ORD1066313,SKU00777,16-05-2025,Late Delivery,155.28,Approved
RET200284,ORD1068323,SKU00671,16-02-2025,Quality Issue,187.07,Approved
RET200285,ORD1079416,SKU00977,31-03-2025,Changed Mind,38.94,Approved
RET200286,ORD1030399,SKU00024,28-05-2025,Changed Mind,478.48,Approved
RET200287,ORD1030145,SKU01025,27-03-2025,Damaged,258.89,Approved
RET200288,ORD1032288,SKU00253,28-01-2025,Damaged,109.99,Approved
RET200289,ORD1064836,SKU00485,06-06-2025,Wrong Item,727.95,Approved
RET200290,ORD1070219,SKU00009,30-05-2025,Damaged,251.04,Approved
RET200291,ORD1047748,SKU01041,03-02-2025,Changed Mind,254.97,Approved
RET200292,ORD1018428,SKU00671,11-05-2025,Wrong Item,837.5,Approved
RET200293,ORD1002315,SKU00771,02-06-2025,Unknown,262.02,Approved
RET200294,ORD1012772,SKU01075,01-02-2025,Wrong Item,375.1,Approved
RET200295,ORD1044481,SKU01152,31-01-2025,Damaged,279.36,Approved
RET200296,ORD1045082,SKU00995,23-03-2025,Wrong Item,248.38,Approved
RET200297,ORD1018571,SKU00735,19-01-2025,Wrong Item,722.92,Rejected
RET200298,ORD1015474,SKU00741,26-02-2025,Changed Mind,569.18,Rejected
RET200299,ORD1039529,SKU01184,29-03-2025,Wrong Item,1381.45,Approved
RET200300,ORD1024021,SKU01125,17-01-2025,Late Delivery,118.78,Rejected
RET200301,ORD1008340,SKU00637,18-02-2025,Quality Issue,487,Approved
RET200302,ORD1021787,SKU00262,25-01-2025,Damaged,73.39,Approved
RET200303,ORD1072428,SKU00608,26-01-2025,Changed Mind,92.63,Approved
RET200304,ORD1028945,SKU00183,14-06-2025,Wrong Item,126.07,Approved
RET200305,ORD1054036,SKU00816,09-06-2025,Damaged,68.1,Approved
RET200306,ORD1013866,SKU01162,16-02-2025,Damaged,751.52,Approved
RET200307,ORD1009413,SKU01064,15-06-2025,Late Delivery,281.96,Approved
RET200308,ORD1019298,SKU00157,17-03-2025,Wrong Item,64.42,Approved
RET200309,ORD1061624,SKU00626,13-06-2025,Quality Issue,144.65,Approved
RET200310,ORD1046957,SKU00797,21-04-2025,Late Delivery,115.52,Approved
RET200311,ORD1020775,SKU00555,29-03-2025,Quality Issue,616.14,Approved
RET200312,ORD1078633,SKU00054,20-01-2025,Quality Issue,389.48,Approved
RET200313,ORD1077929,SKU00517,07-05-2025,Changed Mind,159.18,Approved
RET200314,ORD1064811,SKU00472,06-01-2025,Damaged,186.63,Approved
RET200315,ORD1003323,SKU00383,10-05-2025,Damaged,184,Approved
RET200316,ORD1065255,SKU00327,11-05-2025,Late Delivery,546.28,Rejected
RET200317,ORD1000632,SKU00138,25-02-2025,Changed Mind,231.83,Approved
RET200318,ORD1023224,SKU00474,17-02-2025,Changed Mind,344.86,Rejected
RET200319,ORD1015323,SKU00662,20-02-2025,Damaged,153.21,Approved
RET200320,ORD1011895,SKU00553,16-06-2025,Changed Mind,542.1,Approved
RET200321,ORD1077942,SKU01170,21-06-2025,Damaged,405.29,Approved
RET200322,ORD1041917,SKU00321,24-03-2025,Missing Item,282.89,Approved
RET200323,ORD1055742,SKU01094,27-05-2025,Quality Issue,88.86,Approved
RET200324,ORD1013463,SKU00714,19-06-2025,Wrong Item,298.24,Approved
RET200325,ORD1068807,SKU00725,29-03-2025,Quality Issue,1544.88,Approved
RET200326,ORD1024674,SKU00538,13-01-2025,Quality Issue,150.75,Approved
RET200327,ORD1015102,SKU00717,07-06-2025,Damaged,65.98,Rejected
RET200328,ORD1071989,SKU00574,09-03-2025,Quality Issue,361.88,Approved
RET200329,ORD1035776,SKU00178,18-02-2025,Wrong Item,56,Approved
RET200330,ORD1013243,SKU00989,10-05-2025,Quality Issue,298.14,Approved
RET200331,ORD1044132,SKU00837,04-03-2025,Wrong Item,304.32,Approved
RET200332,ORD1034258,SKU-09141,17-03-2025,Damaged,81.26,Approved
RET200333,ORD1053699,SKU00762,21-01-2025,Changed Mind,92.6,Approved
RET200334,ORD1072418,SKU00267,19-01-2025,Quality Issue,430.66,Rejected
RET200335,ORD1002127,SKU00243,01-04-2025,Late Delivery,690.12,Rejected
RET200336,ORD1070078,SKU00938,23-04-2025,Quality Issue,212.32,Approved
RET200337,ORD1017338,SKU00903,25-03-2025,Late Delivery,380.93,Rejected
RET200338,ORD1064565,SKU00950,26-04-2025,Damaged,512.8,Approved
RET200339,ORD1013267,SKU00583,23-04-2025,Late Delivery,514.16,Approved
RET200340,ORD1012083,SKU01199,04-03-2025,Quality Issue,190.9,Approved
RET200341,ORD1058614,SKU01067,27-01-2025,Damaged,150.71,Rejected
RET200342,ORD1007237,SKU00802,20-05-2025,Missing Item,234.7,Approved
RET200343,ORD1024777,SKU00432,25-04-2025,Damaged,225.3,Approved
RET200344,ORD1070241,SKU01068,25-01-2025,Late Delivery,140.68,Approved
RET200345,ORD1028055,SKU00116,28-02-2025,Quality Issue,40.16,Approved
RET200346,ORD1006757,SKU00469,03-03-2025,Late Delivery,397.46,Rejected
RET200347,ORD1040573,SKU01165,03-05-2025,Changed Mind,341.17,Approved
RET200348,ORD1037579,SKU00422,27-03-2025,Quality Issue,82.93,Approved
RET200349,ORD1030558,SKU00579,28-03-2025,Wrong Item,918.55,Approved
RET200350,ORD1033296,SKU01126,03-05-2025,Damaged,144.26,Approved
