PO_ID,Vendor_ID,SKU_ID,Store_ID,PO_Date,Expected_Delivery_Date,Actual_Delivery_Date,Supplied_Quantity,Procurement_Cost
PO300023,VEND0045,SKU00266,JAI-03,12-04-2025,15-04-2025,17-04-2025,63,32.19
PO300024,VEND0081,SKU00347,CHE-02,21-05-2025,28-05-2025,29-05-2025,73,188.87
PO300025,VEND0096,SKU00423,BEN-01,10-02-2025,13-02-2025,18-02-2025,51,132.2
PO300026,VEND0020,SKU01122,CHE-01,23-06-2025,30-06-2025,30-06-2025,71,26.77
PO300027,VEND0036,SKU00611,AHM-05,26-04-2025,30-04-2025,30-04-2025,59,91.79
PO300028,VEND0044,SKU00928,DEL-04,03-04-2025,07-04-2025,07-04-2025,61,149.6
PO300029,VEND0102,SKU00455,BEN-01,06-04-2025,10-04-2025,10-04-2025,62,67.5
PO300030,VEND0092,SKU01184,DEL-02,11-02-2025,16-02-2025,18-02-2025,60,382.89
PO300031,VEND0114,SKU01137,PUN-02,30-01-2025,07-02-2025,07-02-2025,58,102.36
PO300032,VEND0046,SKU00201,BEN-04,18-05-2025,24-05-2025,24-05-2025,51,117
PO300033,VEND0027,SKU00386,MUM-01,10-04-2025,13-04-2025,13-04-2025,71,140.19
PO300034,VEND0030,SKU00841,CHE-04,03-04-2025,09-04-2025,09-04-2025,56,126.87
PO300035,VEND0099,SKU01169,KOL-05,07-06-2025,16-06-2025,16-06-2025,59,81.19
PO300036,VEND0051,SKU00471,CHE-05,30-06-2025,07-07-2025,10-07-2025,66,116.19
PO300037,VEND0030,SKU00191,AHM-02,17-01-2025,24-01-2025,29-01-2025,76,27.32
PO300038,VEND0049,SKU00462,KOC-03,10-03-2025,19-03-2025,19-03-2025,54,126.31
PO300039,VEND0073,SKU00785,DEL-03,22-05-2025,28-05-2025,28-05-2025,55,122.9
PO300040,VEND0019,SKU00498,JAI-04,15-01-2025,22-01-2025,22-01-2025,51,31.46
PO300041,VEND0097,SKU00646,AHM-02,10-04-2025,16-04-2025,16-04-2025,64,34.11
PO300042,VEND0076,SKU00849,PUN-03,27-03-2025,03-04-2025,03-04-2025,51,98.43
PO300043,VEND0099,SKU00372,PUN-01,13-01-2025,22-01-2025,27-01-2025,57,46.65
PO300044,VEND0114,SKU00130,AHM-01,05-03-2025,12-03-2025,13-03-2025,63,57.45
PO300045,VEND0111,SKU00804,CHE-05,11-01-2025,19-01-2025,19-01-2025,50,25.71
PO300046,VEND0041,SKU00379,MUM-04,30-01-2025,05-02-2025,05-02-2025,60,60.49
PO300047,VEND0032,SKU01089,KOL-03,15-05-2025,24-05-2025,25-05-2025,61,66.19
PO300048,VEND0095,SKU01124,KOL-04,10-02-2025,17-02-2025,17-02-2025,65,148.46
PO300049,VEND0103,SKU00681,AHM-05,16-01-2025,18-01-2025,18-01-2025,66,75.54
PO300050,VEND0077,SKU00882,CHE-05,16-03-2025,22-03-2025,24-03-2025,57,149.67
PO300051,VEND0100,SKU00170,HYD-04,24-04-2025,02-05-2025,02-05-2025,49,69.83
PO300052,VEND0020,SKU00165,DEL-02,18-02-2025,27-02-2025,27-02-2025,59,56.22
PO300053,VEND0006,SKU00937,JAI-02,06-02-2025,11-02-2025,12-02-2025,62,66.3
PO300054,VEND0008,SKU00591,KOC-05,02-03-2025,09-03-2025,09-03-2025,53,143.29
PO300055,VEND0057,SKU00497,AHM-02,18-01-2025,20-01-2025,20-01-2025,57,125.05
PO300056,VEND0042,SKU00293,KOC-01,22-06-2025,30-06-2025,30-06-2025,66,170.02
PO300057,VEND0019,SKU00572,AHM-03,05-06-2025,09-06-2025,09-06-2025,50,39.35
PO300058,VEND0059,SKU00646,AHM-05,17-06-2025,26-06-2025,26-06-2025,57,31.33
PO300059,VEND0024,SKU01069,MUM-01,06-06-2025,12-06-2025,12-06-2025,49,60.43
PO300060,VEND0057,SKU00824,KOC-02,06-05-2025,15-05-2025,15-05-2025,60,68.73
PO300061,VEND0038,SKU00438,BEN-02,11-01-2025,13-01-2025,13-01-2025,69,25.58
PO300062,VEND0035,SKU00292,AHM-05,12-04-2025,18-04-2025,21-04-2025,66,42.45
PO300063,VEND0024,SKU00863,PUN-04,24-02-2025,05-03-2025,05-03-2025,80,34
PO300064,VEND0014,SKU00043,MUM-05,04-03-2025,12-03-2025,12-03-2025,49,22.26
PO300065,VEND0037,SKU00781,AHM-01,26-03-2025,28-03-2025,28-03-2025,56,230.78
PO300066,VEND0022,SKU00920,PUN-03,26-02-2025,01-03-2025,01-03-2025,56,118.68
PO300067,VEND0098,SKU00350,DEL-01,01-04-2025,06-04-2025,06-04-2025,46,49.73
PO300068,VEND0005,SKU01170,KOL-02,20-01-2025,29-01-2025,29-01-2025,53,151.76
PO300069,VEND0046,SKU00132,KOC-04,31-01-2025,07-02-2025,10-02-2025,66,162.09
PO300070,VEND0109,SKU00946,KOL-04,21-03-2025,27-03-2025,29-03-2025,62,53.37
PO300071,VEND0072,SKU00513,JAI-02,04-01-2025,08-01-2025,08-01-2025,68,145.43
PO300072,VEND0013,SKU00232,MUM-04,02-04-2025,06-04-2025,06-04-2025,62,24.2
PO300073,VEND0020,SKU00538,JAI-02,26-03-2025,29-03-2025,29-03-2025,73,64.55
PO300074,VEND0070,SKU00837,KOL-01,27-03-2025,03-04-2025,03-04-2025,65,113.12
PO300075,VEND0043,SKU00489,MUM-04,26-04-2025,29-04-2025,29-04-2025,59,35.29
PO300076,VEND0010,SKU00324,PUN-05,20-01-2025,26-01-2025,26-01-2025,62,212.66
PO300077,VEND0032,SKU00958,BEN-04,07-06-2025,12-06-2025,12-06-2025,53,177.76
PO300078,VEND0064,SKU00718,BEN-01,01-03-2025,09-03-2025,09-03-2025,51,103.07
PO300079,VEND0088,SKU00291,KOC-01,18-01-2025,22-01-2025,22-01-2025,57,49.52
PO300080,VEND0057,SKU00676,JAI-03,12-06-2025,21-06-2025,21-06-2025,80,94.37
PO300081,VEND0081,SKU00300,CHE-04,07-03-2025,12-03-2025,12-03-2025,66,61.43
PO300082,VEND0050,SKU00365,DEL-02,07-01-2025,15-01-2025,20-01-2025,55,30.81
PO300083,VEND0011,SKU00031,AHM-04,02-05-2025,05-05-2025,05-05-2025,68,172.52
PO300084,VEND0096,SKU01197,DEL-01,10-04-2025,14-04-2025,14-04-2025,61,68.29
PO300085,VEND0107,SKU00279,PUN01,05-06-2025,10-06-2025,15-06-2025,57,193.6
PO300086,VEND0032,SKU00576,KOL-02,04-06-2025,13-06-2025,13-06-2025,60,66.59
PO300087,VEND0086,SKU00822,DEL-04,19-03-2025,27-03-2025,27-03-2025,62,14.13
PO300088,VEND0110,SKU00707,AHM-05,05-01-2025,07-01-2025,07-01-2025,69,50.07
PO300089,VEND0055,SKU00837,PUN-02,02-03-2025,06-03-2025,07-03-2025,56,121.21
PO300090,VEND0071,SKU00013,JAI-02,20-01-2025,26-01-2025,26-01-2025,54,25.99
PO300091,VEND0117,SKU01092,CHE-01,15-03-2025,18-03-2025,19-03-2025,71,152.4
PO300092,VEND0075,SKU00531,DEL-01,04-06-2025,06-06-2025,06-06-2025,64,75.87
PO300093,VEND0010,SKU00889,KOC-02,12-05-2025,21-05-2025,24-05-2025,51,112.04
PO300094,VEND0018,SKU00485,HYD-01,21-06-2025,23-06-2025,23-06-2025,70,103.43
PO300095,VEND0025,SKU00520,KOL-03,03-08-2025,13-03-2025,13-03-2025,60,126.17
PO300096,VEND0062,SKU00714,BEN-03,24-02-2025,02-03-2025,02-03-2025,45,69.42
PO300097,VEND0106,SKU00289,PUN-02,24-05-2025,30-05-2025,30-05-2025,67,38.04
PO300098,VEND0049,SKU00543,HYD-04,23-01-2025,30-01-2025,30-01-2025,57,56.3
PO300099,VEND0116,SKU01042,BEN-01,17-06-2025,25-06-2025,26-06-2025,63,24.85
PO300100,VEND0054,SKU00568,AHM-01,23-02-2025,01-03-2025,02-03-2025,61,77.21
PO300101,VEND0069,SKU00584,HYD-05,09-03-2025,11-03-2025,16-03-2025,53,76.48
PO300102,VEND0045,SKU00343,JAI-04,22-06-2025,30-06-2025,07-07-2025,58,28.54
PO300103,VEND0011,SKU00099,PUN-04,07-05-2025,14-05-2025,15-05-2025,72,57.28
PO300104,VEND0061,SKU01036,CHE-05,28-01-2025,06-02-2025,06-02-2025,73,67.63
PO300105,VEND0104,SKU00277,JAI-01,05-01-2025,12-01-2025,12-01-2025,47,32.45
PO300106,VEND0040,SKU00712,BEN-01,06-01-2025,15-01-2025,15-01-2025,75,123.9
PO300107,VEND0043,SKU00557,JAI-01,27-06-2025,02-07-2025,02-07-2025,65,61.16
PO300108,VEND0118,SKU01200,PUN-04,18-01-2025,21-01-2025,21-01-2025,66,56.84
PO300109,VEND0045,SKU00218,che02,15-06-2025,21-06-2025,21-06-2025,49,137.01
PO300110,VEND0030,SKU01101,BEN-03,13-06-2025,19-06-2025,19-06-2025,64,116.76
PO300111,VEND0120,SKU00200,PUN-04,23-03-2025,01-04-2025,01-04-2025,56,43.21
PO300112,VEND0068,SKU00614,HYD-03,27-02-2025,05-03-2025,05-03-2025,62,91.22
PO300113,VEND0060,SKU00111,PUN-05,07-05-2025,09-05-2025,11-05-2025,59,80.62
PO300114,VEND0058,SKU00948,CHE-04,05-01-2025,11-01-2025,11-01-2025,65,160.12
PO300115,VEND0028,SKU00987,JAI-01,02-02-2025,09-02-2025,12-02-2025,69,45.03
PO300116,VEND0027,SKU00949,KOC-03,30-04-2025,04-05-2025,04-05-2025,55,18.18
PO300117,VEND0031,SKU00698,MUM-01,16-04-2025,20-04-2025,20-04-2025,61,40.22
PO300118,VEND0008,SKU00746,AHM-05,12-03-2025,20-03-2025,22-03-2025,70,69.22
PO300119,VEND0019,SKU00178,KOL-04,28-02-2025,03-03-2025,05-03-2025,51,47.42
PO300120,VEND0016,SKU00583,BEN-05,20-04-2025,27-04-2025,27-04-2025,62,169.17
PO300121,VEND0024,SKU00695,AHM-03,30-01-2025,05-02-2025,07-02-2025,54,97.4
PO300122,VEND0038,SKU00484,HYD-04,30-01-2025,03-06-2025,04-06-2025,56,20.17
PO300123,VEND0046,SKU00728,HYD-01,23-02-2025,26-02-2025,27-02-2025,58,103.99
PO300124,VEND0069,SKU00570,DEL-05,26-03-2025,31-03-2025,31-03-2025,60,32.95
PO300125,VEND0085,SKU00468,DEL-01,26-03-2025,21-05-2025,21-05-2025,75,123.21
PO300126,VEND0093,SKU00535,AHM-03,22-04-2025,29-04-2025,29-04-2025,76,58.61
PO300127,VEND0069,SKU00552,BEN-03,30-06-2025,03-07-2025,04-07-2025,50,110.31
PO300128,VEND0043,SKU01004,KOL-04,30-03-2025,05-04-2025,05-04-2025,63,52.89
PO300129,VEND0005,SKU01191,PUN-05,25-03-2025,31-03-2025,31-03-2025,53,147.65
PO300130,VEND0100,SKU00274,AHM-04,09-01-2025,14-01-2025,14-01-2025,69,130.51
PO300131,VEND0069,SKU00005,AHM03 ,23-03-2025,28-03-2025,29-03-2025,59,109.37
PO300132,VEND0112,SKU01097,KOL-03,21-06-2025,26-06-2025,26-06-2025,67,104.77
PO300133,VEND0053,SKU00991,CHE-03,12-03-2025,17-03-2025,18-03-2025,64,66.2
PO300134,VEND0025,SKU00125,CHE-03,19-04-2025,28-04-2025,28-04-2025,64,66.87
PO300135,VEND0085,SKU00350,KOC-05,17-01-2025,23-01-2025,28-01-2025,57,55.11
PO300136,VEND0018,SKU00438,AHM-02,04-01-2025,13-01-2025,13-01-2025,72,24.01
PO300137,VEND0036,SKU01056,KOC-01,04-02-2025,06-02-2025,06-02-2025,59,11.75
PO300138,VEND0070,SKU00126,KOL-02,09-03-2025,14-03-2025,14-03-2025,64,39.16
PO300139,VEND0061,SKU00861,BEN-01,24-02-2025,02-03-2025,02-03-2025,58,80.51
PO300140,VEND0063,SKU01001,MUM-04,05-01-2025,13-01-2025,13-01-2025,45,44.85
PO300141,VEND0039,SKU00760,AHM-02,30-06-2025,02-07-2025,02-07-2025,53,51.86
PO300142,VEND0108,SKU01163,KOC-05,14-02-2025,17-02-2025,17-02-2025,71,111.13
PO300143,VEND0047,SKU00559,CHE-05,17-01-2025,20-01-2025,20-01-2025,56,222.33
PO300144,VEND0032,SKU00411,CHE-05,27-04-2025,30-04-2025,30-04-2025,63,84.68
PO300145,VEND0111,SKU-03781,DEL-02,04-05-2025,13-05-2025,13-05-2025,66,205.23
PO300146,VEND0044,SKU00701,KOL-04,02-04-2025,11-04-2025,11-04-2025,57,28.54
PO300147,VEND0084,SKU00106,CHE-01,16-06-2025,22-06-2025,11-04-2025,68,44.46
PO300148,VEND0117,SKU00912,AHM-05,28-04-2025,30-04-2025,30-04-2025,58,80.91
PO300149,VEND0084,SKU00236,che05,02-04-2025,08-04-2025,08-04-2025,63,11.51
PO300150,VEND0104,SKU01162,KOC-02,30-01-2025,08-02-2025,08-02-2025,62,182.83
PO300151,VEND0008,SKU00205,PUN-04,07-03-2025,10-03-2025,10-03-2025,66,50.97
PO300152,VEND0042,SKU00831,HYD-05,09-05-2025,17-05-2025,17-05-2025,58,51.61
PO300153,VEND0054,SKU00636,CHE-04,14-02-2025,21-02-2025,21-02-2025,62,24.7
PO300154,VEND0097,SKU00027,JAI-05,30-01-2025,08-02-2025,08-02-2025,63,89.47
PO300155,VEND0021,SKU00617,BEN-04,15-03-2025,22-03-2025,27-03-2025,61,66.72
PO300156,VEND0049,SKU00409,JAI-02,30-03-2025,04-04-2025,04-04-2025,54,277.32
PO300157,VEND0040,SKU00674,MUM-03,10-02-2025,16-02-2025,16-02-2025,78,141.44
PO300158,VEND0010,SKU00408,MUM-05,27-01-2025,03-02-2025,03-02-2025,56,100.77
PO300159,VEND0119,SKU00005,DEL-03,12-01-2025,20-01-2025,20-01-2025,83,110.17
PO300160,VEND0056,SKU00867,JAI-04,09-03-2025,18-03-2025,20-03-2025,66,140.08
PO300161,VEND0013,SKU01063,AHM-02,12-03-2025,17-03-2025,20-03-2025,73,67.09
PO300162,VEND0077,SKU-19489,HYD-01,20-02-2025,23-02-2025,23-02-2025,66,42.69
PO300163,VEND0040,SKU00321,MUM-02,04-06-2025,09-06-2025,14-06-2025,59,55.37
PO300164,VEND0064,SKU01070,CHE-02,08-03-2025,11-03-2025,13-03-2025,48,66.19
PO300165,VEND0107,SKU00402,KOC-03,08-05-2025,13-05-2025,14-05-2025,62,151.13
PO300166,VEND0096,SKU00129,HYD-03,20-05-2025,27-05-2025,30-05-2025,66,73.81
PO300167,VEND0117,SKU00693,AHM-05,02-05-2025,11-05-2025,11-05-2025,59,86.22
PO300168,VEND0022,SKU00203,DEL-05,09-03-2025,12-03-2025,12-03-2025,75,50.37
PO300169,VEND0049,SKU00231,BEN-01,07-04-2025,16-04-2025,17-04-2025,67,42.2
PO300170,VEND0065,SKU00815,JAI-01,30-03-2025,01-04-2025,04-01-2025,46,67.7
PO300171,VEND0041,SKU01149,PUN-01,12-04-2025,20-04-2025,22-04-2025,63,93.14
PO300172,VEND0070,SKU00576,KOL-01,15-05-2025,17-05-2025,17-05-2025,74,65.32
PO300173,VEND0088,SKU00374,KOC-04,15-03-2025,19-03-2025,22-03-2025,55,46.54
PO300174,VEND0012,SKU00405,KOL-02,24-02-2025,01-03-2025,01-03-2025,56,91.17
PO300175,VEND0090,SKU00509,ben03,18-01-2025,26-01-2025,31-01-2025,48,158.41
PO300176,VEND0053,SKU00397,DEL-05,03-04-2025,12-04-2025,12-04-2025,57,32.75
PO300177,VEND0115,SKU00449,KOC-04,22-06-2025,30-06-2025,30-06-2025,63,17.06
PO300178,VEND0004,SKU00829,KOL-04,22-06-2025,26-06-2025,26-06-2025,61,32.37
PO300179,VEND0050,SKU00874,BEN-04,06-04-2025,09-04-2025,09-04-2025,62,93.86
PO300180,VEND0051,SKU00208,DEL-01,19-04-2025,21-04-2025,21-04-2025,61,226.18
PO300181,VEND0006,SKU00955,KOC-05,05-03-2025,07-03-2025,08-03-2025,66,78.68
PO300182,VEND0027,SKU01146,CHE-02,07-05-2025,10-05-2025,05-12-2025,43,26.41
PO300183,VEND0114,SKU00356,BEN-04,27-02-2025,04-03-2025,04-03-2025,52,121.62
PO300184,VEND0024,SKU00825,DEL-05,03-06-2025,10-06-2025,10-06-2025,61,56.92
PO300185,VEND0052,SKU01050,AHM-05,06-06-2025,14-06-2025,14-06-2025,57,60.86
PO300186,VEND0018,SKU00181,KOC-05,10-01-2025,19-01-2025,19-01-2025,65,41.86
PO300187,VEND0053,SKU00823,KOL-04,09-04-2025,18-04-2025,21-04-2025,60,86.99
PO300188,VEND0060,SKU00795,MUM-02,20-04-2025,22-04-2025,22-04-2025,57,68.43
PO300189,VEND0001,SKU01033,DEL-03,15-03-2025,21-03-2025,21-03-2025,69,285.33
PO300190,VEND0120,SKU01140,MUM-01,16-03-2025,22-03-2025,22-03-2025,60,66.71
PO300191,VEND0022,SKU00420,HYD-01,30-05-2025,04-06-2025,04-06-2025,61,95.63
PO300192,VEND0010,SKU00943,CHE-04,21-04-2025,26-04-2025,26-04-2025,59,124.11
PO300193,VEND0035,SKU00041,AHM-05,30-04-2025,09-05-2025,09-05-2025,59,131.51
PO300194,VEND0114,SKU00358,MUM-02,04-01-2025,06-01-2025,08-01-2025,55,55.71
PO300195,VEND0063,SKU-04549,MUM-02,18-06-2025,22-06-2025,23-06-2025,49,66.82
PO300196,VEND0115,SKU00377,KOC-01,25-03-2025,29-03-2025,29-03-2025,62,109.43
PO300197,VEND0033,SKU00879,JAI-05,07-03-2025,14-03-2025,14-03-2025,62,43.96
PO300198,VEND0005,SKU00160,CHE-01,22-04-2025,27-04-2025,02-05-2025,66,66.43
PO300199,VEND0120,SKU01059,AHM-02,16-06-2025,22-06-2025,22-06-2025,72,52.4
PO300200,VEND0056,SKU00580,KOL-05,27-06-2025,05-07-2025,07-05-2025,59,169.56
PO300201,VEND0112,SKU00820,DEL-01,07-06-2025,14-06-2025,19-06-2025,61,108.58
PO300202,VEND0005,SKU00304,BEN-03,16-04-2025,20-04-2025,20-04-2025,57,110.33
PO300203,VEND0078,SKU00401,MUM-01,17-05-2025,24-05-2025,25-05-2025,50,45.54
PO300204,VEND0016,SKU01129,HYD-01,09-04-2025,18-04-2025,19-04-2025,45,162.2
PO300205,VEND0105,SKU00726,CHE-04,20-04-2025,25-04-2025,25-04-2025,55,38.75
PO300206,VEND0053,SKU00881,PUN-02,16-06-2025,18-06-2025,21-06-2025,61,61.99
PO300207,VEND0060,SKU00406,CHE-03,13-05-2025,22-05-2025,22-05-2025,66,146.53
PO300208,VEND0079,SKU00744,KOL-01,22-04-2025,29-04-2025,01-05-2025,53,40.31
PO300209,VEND0021,SKU00066,KOC-01,11-03-2025,15-03-2025,15-03-2025,66,73.91
PO300210,VEND0099,SKU01017,DEL-03,05-07-2025,11-05-2025,11-05-2025,44,39.34
PO300211,VEND0083,SKU00317,JAI-02,07-03-2025,11-03-2025,11-03-2025,65,169.98
PO300212,VEND0085,SKU00390,BEN-05,14-06-2025,21-06-2025,21-06-2025,58,164.86
PO300213,VEND0029,SKU00762,CHE-02,16-05-2025,20-05-2025,20-05-2025,58,19.13
PO300214,VEND0073,SKU00571,BEN-03,02-05-2025,07-05-2025,09-05-2025,63,113.66
PO300215,VEND0085,SKU00906,CHE-01,21-04-2025,26-04-2025,29-04-2025,65,16.45
PO300216,VEND0001,SKU00990,BEN-05,04-05-2025,10-05-2025,10-05-2025,70,215.09
PO300217,VEND0117,SKU00713,CHE-02,10-01-2025,13-01-2025,13-01-2025,49,63.81
PO300218,VEND0068,SKU00556,CHE-04,31-03-2025,08-04-2025,08-04-2025,58,56.73
PO300219,VEND0038,SKU00337,CHE-04,18-05-2025,26-05-2025,26-05-2025,79,150.71
PO300220,VEND0110,SKU01038,JAI-04,22-04-2025,27-04-2025,27-04-2025,72,63.69
PO300221,VEND0008,SKU00962,MUM-01,02-04-2025,06-04-2025,06-04-2025,68,37.22
PO300222,VEND0108,SKU00865,JAI-05,16-04-2025,18-04-2025,25-04-2025,44,551.12
PO300223,VEND0095,SKU-87218,KOL-05,12-02-2025,19-02-2025,19-02-2025,69,53.47
PO300224,VEND0116,SKU00425,CHE-05,12-06-2025,14-06-2025,14-06-2025,56,130.18
PO300225,VEND0098,SKU00690,JAI-02,03-06-2025,08-06-2025,08-06-2025,71,124.23
PO300226,VEND0103,SKU01035,KOC-03,16-03-2025,22-03-2025,22-03-2025,53,105.52
PO300227,VEND0075,SKU00648,KOC-01,11-04-2025,15-04-2025,17-04-2025,65,111.92
PO300228,VEND0093,SKU00240,CHE-05,01-03-2025,05-03-2025,05-03-2025,61,75.2
PO300229,VEND0103,SKU01198,JAI-05,02-02-2025,11-02-2025,11-02-2025,70,18.13
PO300230,VEND0083,SKU01017,BEN-01,14-04-2025,18-04-2025,18-04-2025,63,39.93
PO300231,VEND0009,SKU01111,MUM-03,15-03-2025,18-03-2025,18-03-2025,70,92.14
PO300232,VEND0086,SKU00244,JAI-01,13-05-2025,18-03-2025,19-05-2025,58,46.52
PO300233,VEND0112,SKU-20702,MUM-03,19-03-2025,21-03-2025,24-03-2025,58,99.03
PO300234,VEND0017,SKU00370,MUM-04,16-01-2025,20-01-2025,20-01-2025,62,86.46
PO300235,VEND0069,SKU01005,HYD-02,27-05-2025,30-05-2025,30-05-2025,55,23.52
PO300236,VEND0007,SKU00821,AHM-04,24-04-2025,03-05-2025,03-05-2025,59,40.6
PO300237,VEND0044,SKU00511,BEN-05,31-03-2025,03-04-2025,08-04-2025,69,76.71
PO300238,VEND0016,SKU01016,AHM-03,28-04-2025,04-05-2025,04-05-2025,59,172.71
PO300239,VEND0044,SKU00141,JAI-05,28-05-2025,03-06-2025,03-06-2025,49,78.61
PO300240,VEND0027,SKU00629,KOL-04,04-03-2025,11-03-2025,11-03-2025,59,25.3
PO300241,VEND0045,SKU00119,CHE01 ,27-01-2025,01-02-2025,03-02-2025,48,49.01
PO300242,VEND0063,SKU01146,MUM-05,03-05-2025,09-05-2025,09-05-2025,62,28.96
PO300243,VEND0029,SKU00219,BEN-02,24-01-2025,29-01-2025,29-01-2025,58,43.32
PO300244,VEND0008,SKU00511,BEN-05,29-03-2025,06-04-2025,07-04-2025,60,83.71
PO300245,VEND0120,SKU00700,KOC-04,23-06-2025,28-06-2025,28-06-2025,56,63.68
PO300246,VEND0020,SKU00953,JAI-01,07-02-2025,16-02-2025,16-02-2025,64,87.53
PO300247,VEND0063,SKU00123,HYD-02,13-02-2025,21-02-2025,24-02-2025,56,228.34
PO300248,VEND0104,SKU00834,PUN-02,01-06-2025,07-06-2025,08-06-2025,52,25.18
PO300249,VEND0039,SKU01144,BEN-02,01-02-2025,09-02-2025,09-02-2025,63,98.42
PO300250,VEND0005,SKU00663,HYD-03,03-01-2025,08-01-2025,08-01-2025,65,40.95
PO300251,VEND0024,SKU00449,DEL-04,22-06-2025,26-06-2025,26-06-2025,78,16.14
PO300252,VEND0095,SKU00172,JAI-04,27-06-2025,04-07-2025,04-07-2025,67,75.07
PO300253,VEND0038,SKU01182,ben05,19-04-2025,23-04-2025,23-04-2025,79,107.78
PO300254,VEND0118,SKU00149,CHE-02,08-03-2025,12-03-2025,12-03-2025,65,194.14
PO300255,VEND0045,SKU00943,BEN-01,10-04-2025,16-04-2025,17-04-2025,54,113
PO300256,VEND0114,SKU00135,PUN-05,02-01-2025,05-01-2025,10-01-2025,52,176.1
PO300257,VEND0094,SKU00696,PUN-04,30-01-2025,04-02-2025,04-02-2025,50,93.65
PO300258,VEND0043,SKU00495,MUM-05,10-03-2025,15-03-2025,15-03-2025,59,92.73
PO300259,VEND0108,SKU00656,AHM-04,25-02-2025,01-03-2025,01-03-2025,71,79.36
PO300260,VEND0082,SKU00889,HYD2,28-02-2025,08-03-2025,08-03-2025,56,106.15
PO300261,VEND0053,SKU00458,KOC-04,07-03-2025,12-03-2025,12-03-2025,66,121.35
PO300262,VEND0023,SKU01029,PUN-05,01-01-2025,10-01-2025,11-01-2025,54,211.93
PO300263,VEND0021,SKU00698,PUN-05,29-05-2025,10-01-2025,01-06-2025,61,38.04
PO300264,VEND0093,SKU00367,JAI-01,21-04-2025,30-04-2025,30-04-2025,53,25.72
PO300265,VEND0076,SKU00784,HYD-03,02-01-2025,05-01-2025,07-01-2025,58,100.14
PO300266,VEND0108,SKU00977,PUN-01,23-06-2025,30-06-2025,30-06-2025,52,18.22
PO300267,VEND0011,SKU01197,DEL-04,28-05-2025,30-05-2025,30-05-2025,50,63.97
PO300268,VEND0003,SKU00094,JAI-01,03-04-2025,09-03-2025,12-03-2025,53,40.78
PO300269,VEND0034,SKU00489,CHE-05,18-06-2025,23-06-2025,23-06-2025,59,39.46
PO300270,VEND0023,SKU00219,BEN-05,06-05-2025,13-05-2025,13-05-2025,69,40.55
PO300271,VEND0042,SKU00254,MUM-02,06-03-2025,08-03-2025,08-03-2025,56,50.01
PO300272,VEND0064,SKU00638,CHE-02,12-01-2025,16-01-2025,16-01-2025,70,33.67
PO300273,VEND0072,SKU00153,KOC-03,24-03-2025,29-03-2025,16-01-2025,66,104.23
PO300274,VEND0029,SKU00267,pun02,04-03-2025,09-03-2025,09-03-2025,56,161.91
PO300275,VEND0039,SKU00690,JAI-02,27-05-2025,31-05-2025,31-05-2025,65,121.78
PO300276,VEND0017,SKU00364,MUM-05,19-04-2025,25-04-2025,25-04-2025,49,63.96
